ra,dec,z_spec,quality
188.99710000000002,62.22790555555556,0.41141,4
189.26667083333334,62.353522222222225,0.48545,4
189.2928,62.365233333333336,0.77624,4
189.08251249999998,62.26703611111111,1.35672,3
189.0318208333333,62.244847222222226,1.47844,4
189.3064125,62.37110555555556,0.97462,4
189.25185833333333,62.34444444444445,0.80103,4
189.24882083333333,62.343694444444445,0.45616,4
189.18915416666667,62.316902777777784,0.45454,4
189.12037916666665,62.28285277777778,0.84891,4
189.1807375,62.31018333333333,0.55633,3
189.20410416666664,62.32149722222223,0.47378,4
189.17194583333333,62.30790555555555,0.84705,4
188.991575,62.22244166666667,0.39501,4
188.9537875,62.19586666666666,0.1192,4
189.27827916666666,62.35474722222222,0.40615,3
189.15878333333333,62.296527777777776,0.45471,4
189.26377916666667,62.34905555555556,0.79907,3
188.94839583333334,62.20195833333334,0.0787,4
188.95028333333335,62.203541666666666,0.50836,4
189.0251583333333,62.23576111111111,0.55602,4
189.27597083333333,62.35306666666667,1.36316,3
189.10527916666666,62.272666666666666,0.6399,4
188.93020416666667,62.19234722222222,0.5583,4
189.18320416666666,62.309172222222216,0.84126,4
189.02062916666665,62.23465,0.4364,4
189.072175,62.25821666666667,0.84975,4
189.3087875,62.36660277777778,0.59467,4
189.2815541666667,62.35324166666667,0.59477,3
189.20677916666668,62.32115,0.27553,4
189.17238749999999,62.302369444444444,0.52854,4
189.10961666666665,62.27341111111111,0.64001,4
189.3067,62.36521666666667,0.5953,4
188.98824583333334,62.21585,0.71219,4
189.27767916666667,62.352111111111114,1.36404,4
189.0571,62.24805277777778,0.68536,4
189.03805416666665,62.241144444444444,0.07454,4
188.9844625,62.21445833333333,0.71158,4
189.15695416666668,62.296188888888885,0.55558,4
189.31750833333334,62.37051944444445,0.50449,4
189.31448749999998,62.36740555555556,1.36261,4
189.19029166666667,62.30974444444444,0.58728,4
189.0889125,62.26278333333333,1.24107,3
188.94026250000002,62.194380555555554,0.47344,4
