[FLY99],RAJ2000,DEJ2000,[WBD96],ABmag,z_spec,z_phot,Type
163,12 36 48.786,+62 12 02.11,4-244.0,25.97,,0.8,2
164,12 36 50.066,+62 12 06.16,4-104.0,27.46,,2.52,4
165,12 36 43.926,+62 11 47.33,4-694.0,27.81,,3.28,4
166,12 36 54.947,+62 12 21.32,3-743.0,25.35,,1.64,4
167,12 36 42.577,+62 11 43.22,4-835.0,27.68,,2.6,4
168,12 36 55.632,+62 12 23.60,3-736.0,26.32,,1.64,4
169,12 36 59.628,+62 12 36.10,3-731.0,27.03,,0.24,4
170,12 36 56.826,+62 12 27.71,3-730.0,27.26,,0.2,1
171,12 36 53.947,+62 12 18.91,3-735.0,26.54,,1.36,4
172,12 36 48.822,+62 12 03.27,4-230.0,27.07,,1.6,4
173,12 36 44.657,+62 11 50.45,4-625.1,25.04,4.58,4.52,4
174,12 36 47.990,+62 12 00.78,4-314.0,26.96,,4.76,4
175,12 36 45.345,+62 11 52.74,4-555.12,23.24,2.803,2.88,4
176,12 36 58.530,+62 12 33.56,3-726.0,25.39,,0.56,3
177,12 36 45.652,+62 11 53.97,4-516.0,24.49,,1.2,3
178,12 36 42.156,+62 11 43.23,4-867.0,27.39,,1.6,4
179,12 36 52.965,+62 12 16.63,3-724.0,27.5,,1.28,3
180,12 36 47.223,+62 11 58.98,4-385.0,25.86,,0.2,4
181,12 36 46.577,+62 11 57.14,4-434.0,25.67,,0.28,4
182,12 36 51.358,+62 12 11.89,3-720.0,27.95,,3.16,4
183,12 36 41.334,+62 11 41.01,4-948.12,22.42,0.585,0.76,2
184,12 36 56.930,+62 12 29.07,3-722.0,25.22,,1.64,4
185,12 36 55.596,+62 12 25.23,3-718.0,27.71,,2.68,4
186,12 36 52.079,+62 12 14.51,3-719.0,26.5,,0.28,3
187,12 36 48.576,+62 12 03.95,4-257.0,25.5,,0.92,4
188,12 36 59.833,+62 12 38.60,3-714.0,26.6,,0.52,4
189,12 36 50.400,+62 12 09.73,4-54.0,26.93,,2.68,4
190,12 36 47.407,+62 12 00.61,4-356.0,27.74,,1.4,4
191,12 36 45.331,+62 11 54.50,4-555.2,23.07,0.372,0.88,1
192,12 36 42.145,+62 11 44.74,4-868.0,24.57,,1.56,4
193,12 36 42.553,+62 11 46.02,4-833.0,25.56,,0.96,4
194,12 36 59.421,+62 12 37.99,3-712.0,25.19,,0.68,2
195,12 36 43.182,+62 11 47.99,4-775.0,22.45,,1.12,2
196,12 36 41.766,+62 11 43.81,4-895.0,26.12,,0.68,3
197,12 36 45.053,+62 11 54.19,4-571.0,24.23,,0.92,4
198,12 36 49.303,+62 12 07.30,4-171.0,24.81,,0.92,3
199,12 36 53.421,+62 12 20.02,3-708.2,27.6,,1.24,3
200,12 36 41.398,+62 11 43.01,4-948.11111,23.19,,1.32,3
201,12 36 43.408,+62 11 49.27,4-728.0,27.21,,1.24,4
202,12 36 49.509,+62 12 08.23,4-140.0,27.29,,1.52,4
203,12 36 54.881,+62 12 24.78,3-706.0,26.23,,0.68,4
204,12 36 51.688,+62 12 15.05,3-705.0,26.74,,3.36,4
205,12 36 47.505,+62 12 02.55,4-346.0,24.41,,0.92,4
206,12 36 44.468,+62 11 53.27,4-627.0,26.54,,0.44,4
207,12 36 45.733,+62 11 57.31,4-497.0,25.67,,2.16,4
208,12 36 44.737,+62 11 54.40,4-603.0,26.65,,1.92,4
209,12 36 43.624,+62 11 51.09,4-702.0,26.08,,4.2,4
210,12 36 52.296,+62 12 17.91,3-697.0,27.8,,1.08,4
211,12 36 57.997,+62 12 35.50,3-698.0,26.21,,0.44,4
212,12 36 53.437,+62 12 21.50,3-704.11,23.78,,1.6,4
213,12 36 45.890,+62 11 58.26,4-473.0,27.17,5.6,5.64,4
214,12 36 46.664,+62 12 00.85,4-411.0,27.84,,1.6,4
215,12 36 55.430,+62 12 27.87,3-695.0,26.09,,1.72,4
216,12 36 58.153,+62 12 36.28,3-688.0,26.77,,1.6,4
217,12 36 50.064,+62 12 11.42,4-75.0,27.47,,2.04,4
218,12 36 46.264,+62 11 59.77,4-448.0,24.45,,0.44,3
219,12 36 48.917,+62 12 08.06,4-203.11,25.29,,0.6,4
220,12 36 52.679,+62 12 19.69,3-696.0,23.2,0.401,0.52,4
221,12 36 43.204,+62 11 50.55,4-737.0,26.7,,4.36,3
222,12 36 58.839,+62 12 38.75,3-681.0,26.84,,0.68,3
223,12 36 55.673,+62 12 29.12,3-683.0,27.67,,1.8,3
224,12 36 49.626,+62 12 10.53,4-118.0,27.11,,2.52,4
225,12 36 55.813,+62 12 29.68,3-678.0,26.97,,1.92,4
226,12 36 52.035,+62 12 18.13,3-684.2,26.74,,0.4,3
227,12 36 42.297,+62 11 48.15,4-838.0,26.93,,1.52,3
228,12 36 43.403,+62 11 51.57,4-727.0,23.05,1.242,1.28,4
229,12 36 47.853,+62 12 05.42,4-304.0,26.93,,1.12,3
230,12 36 48.616,+62 12 07.79,4-229.0,26.06,,1.2,4
231,12 36 57.175,+62 12 34.30,3-675.0,25.61,,3.52,4
232,12 36 52.040,+62 12 18.53,3-684.1,26.74,,1.56,4
233,12 36 51.602,+62 12 17.28,3-677.0,25.11,,1.76,3
234,12 36 53.660,+62 12 23.62,3-687.1,25.41,,1.6,4
235,12 36 43.063,+62 11 50.98,4-749.0,27.39,,0.96,4
236,12 36 53.909,+62 12 24.47,3-674.0,25.59,,1.64,3
237,12 36 53.258,+62 12 22.72,3-670.1,25.02,,0.76,4
238,12 36 42.530,+62 11 50.00,4-804.0,24.95,,1.2,4
239,12 36 56.154,+62 12 31.98,3-668.1,27.8,,0.48,4
240,12 36 58.731,+62 12 40.15,3-661.0,26.22,,0.64,3
241,12 36 44.731,+62 11 57.06,4-579.0,25.08,,0.52,4
242,12 36 45.048,+62 11 58.11,4-543.0,25.68,,1.6,4
243,12 36 43.036,+62 11 52.06,4-747.0,27.15,,0.04,4
244,12 36 49.504,+62 12 12.05,4-119.0,27.75,,1.44,4
245,12 36 46.547,+62 12 03.12,4-416.0,24.35,0.454,0.48,4
246,12 36 50.056,+62 12 13.95,4-70.0,26.99,,1.48,4
247,12 36 45.952,+62 12 01.40,4-460.0,23.72,0.679,0.76,4
248,12 36 48.410,+62 12 09.00,4-237.0,27.67,,0.96,4
249,12 36 49.593,+62 12 12.68,4-109.0,25.21,,1.84,4
250,12 36 41.537,+62 11 47.97,4-893.0,26.99,,4.16,4
251,12 36 41.733,+62 11 48.71,4-875.0,27.14,,4.08,4
252,12 36 42.313,+62 11 50.51,4-825.0,26.16,,1.64,4
253,12 36 54.443,+62 12 28.08,3-654.0,26.93,,2.32,4
254,12 36 45.147,+62 11 59.68,4-530.0,27.19,,4.32,4
255,12 36 46.947,+62 12 05.35,4-382.1,24.09,,0.12,3
256,12 36 54.250,+62 12 27.95,3-648.0,27.64,,0.24,3
257,12 36 51.717,+62 12 20.17,3-659.1,21.56,0.299,0.44,2
258,12 36 40.500,+62 11 45.62,4-975.0,25.51,,0.92,4
259,12 36 56.585,+62 12 35.57,3-640.0,27.21,,1.64,4
260,12 36 42.870,+62 11 53.32,4-756.0,27.31,,3.16,4
261,12 36 58.456,+62 12 41.42,3-643.0,27.02,,2.12,4
262,12 36 47.668,+62 12 08.24,4-308.0,27.88,,1.92,4
263,12 36 54.554,+62 12 29.45,3-639.0,26.93,,1.48,4
264,12 36 46.414,+62 12 04.53,4-418.0,24.69,,1.32,4
265,12 36 46.813,+62 12 05.84,4-382.2,27.57,,1.88,4
266,12 36 42.017,+62 11 51.08,4-842.0,27.51,,4.64,3
267,12 36 45.497,+62 12 02.09,4-487.0,27.38,,1.6,4
268,12 36 41.900,+62 11 51.12,4-854.0,27.62,,1.72,4
269,12 36 50.032,+62 12 16.22,4-50.0,26.85,,1.72,4
270,12 36 44.821,+62 12 00.22,4-558.0,22.99,0.457,0.36,3
271,12 36 47.451,+62 12 08.43,4-319.0,26.16,,0.8,4
272,12 36 51.432,+62 12 20.70,3-659.2,24.92,,1.04,4
273,12 36 50.160,+62 12 16.99,4-33.0,22.47,,0.68,1
274,12 36 49.329,+62 12 14.52,4-131.0,24.89,,0.96,4
275,12 36 42.713,+62 11 54.44,4-774.2,24.9,,1.48,4
276,12 36 52.491,+62 12 24.66,3-625.0,25.35,,1.64,4
277,12 36 50.714,+62 12 19.39,3-622.0,27.32,,1.04,4
278,12 36 47.210,+62 12 08.63,4-335.0,27.1,,1.2,4
279,12 36 59.325,+62 12 46.06,3-616.0,27.3,,0.44,3
280,12 36 51.617,+62 12 22.46,3-633.1,25.85,,1.72,4
281,12 36 48.468,+62 12 12.92,4-183.0,27.42,,1.2,3
282,12 36 45.316,+62 12 03.50,4-498.0,26.87,,1.72,4
283,12 36 56.300,+62 12 37.36,3-611.1,26.46,,1.64,4
284,12 36 55.768,+62 12 36.03,3-607.0,26.74,,0.4,4
285,12 36 48.648,+62 12 14.15,4-260.2,24.45,,0.8,4
286,12 36 51.708,+62 12 23.75,3-633.2,26.89,,0.64,3
287,12 36 56.503,+62 12 38.65,3-610.12,27.69,,0.48,4
288,12 36 53.639,+62 12 29.84,3-600.0,26.76,,2.32,4
289,12 36 55.032,+62 12 34.14,3-601.1,24.21,,1.08,2
290,12 37 00.111,+62 12 49.80,3-597.0,24.42,,1.2,4
291,12 36 50.917,+62 12 21.64,3-594.0,27.5,,0.68,1
292,12 36 58.886,+62 12 46.26,3-591.0,27.71,,0.68,4
293,12 36 50.789,+62 12 21.35,3-599.0,24.65,,0.6,4
294,12 36 47.478,+62 12 11.25,4-315.1,25.26,,1.56,4
