ra,dec,z_spec,z_flag
189.08014356130892,62.2553986093555,4.398992,"{6, 7}"
189.09814456124133,62.255552441430716,4.883659,"{6, 7}"
189.0798188542672,62.25646070822843,6.756971,"{6, 7}"
189.20666769481045,62.25677341468013,4.064192,"{6, 7}"
189.14179017654314,62.25841279000412,4.938248,"{6, 7}"
189.2014827088781,62.258632890799674,3.635197,"{6, 7}"
189.13702475518164,62.2587201248694,3.661695,"{6, 7}"
189.08587230943465,62.259044500525704,4.696387,"{6, 7}"
189.1576571698639,62.25929981444334,3.666044,"{6, 7}"
189.1519656570194,62.25963521216192,6.759366,"{6, 7}"
189.10636573906254,62.25971420687521,5.421637,"{6, 7}"
189.13723537049177,62.2606362510657,5.601975,"{6, 7}"
189.12197992479508,62.26130830012754,5.320736,"{6, 7}"
189.13093210899672,62.26199976388494,4.41929,"{6, 7}"
189.1284210756303,62.262771984900674,5.865369,"{6, 7}"
189.16214905172856,62.263810849468214,6.314601,"{6, 7}"
189.0819036958499,62.2649221899439,4.172118,"{6, 7}"
189.09600237750175,62.26541430235651,4.424293,"{6, 7}"
189.05794759025335,62.266520875550704,3.908666,"{6, 7}"
189.08254012622058,62.26932446992568,4.023232,"{6, 7}"
189.13400174814544,62.26945610747303,3.340562,"{6, 7}"
189.05318301153736,62.26955640929942,4.33377,"{10, 6, 7}"
189.11104101528767,62.27190179103356,4.038605,"{6, 7}"
189.0583154970877,62.272558292613084,3.866069,"{6, 7}"
189.09533768260124,62.27309990747221,2.752502,"{6, 7}"
189.15742057081988,62.273606875302164,5.679713,"{6, 7}"
189.0642806828022,62.27429802914863,5.144219,{6}
189.13807673596932,62.27445220538244,6.745649,"{6, 7}"
189.20055154479468,62.27458311727341,3.324926,"{6, 7}"
189.12557650325525,62.27484805370226,3.871523,"{6, 7}"
189.2026030536545,62.27550905029949,6.907079,"{6, 7}"
189.13851114151183,62.27561026151829,6.744623,"{6, 7}"
189.160226685981,62.27622688271192,3.810089,"{6, 7}"
189.17974248093586,62.224629085991644,5.594198,"{6, 7}"
189.15823115100412,62.27842717434089,5.765919,"{4, 6}"
189.1376299809762,62.27863053996361,3.913113,"{6, 7}"
189.13699901321118,62.27895560507869,3.918047,"{6, 7}"
189.09482145059962,62.2789943719872,4.691532,"{6, 7}"
189.12982492073613,62.281169237098965,3.33482,"{6, 7}"
189.17975270932268,62.28238705208586,7.079989,"{6, 7}"
189.09628668994077,62.282484531012564,3.962754,"{6, 7}"
189.10576599321732,62.28337197478065,3.657174,"{6, 7}"
189.13216122442967,62.224859009423476,1.860986,"{5, 6, 7}"
189.1765507764058,62.283723359764544,4.148276,"{6, 7}"
189.18666624107718,62.284913783143,3.317353,"{6, 7}"
189.18118338586046,62.22495090960964,3.654467,"{6, 7}"
189.1840362710666,62.28593002993619,4.153986,"{6, 7}"
189.1059340897561,62.286854218204276,4.470204,"{6, 7}"
189.11186100400698,62.28772989381203,4.379654,"{6, 7}"
189.18335875302895,62.28772220532748,7.021773,"{6, 7}"
189.10256103571794,62.287861512815944,3.657747,"{6, 7}"
189.11428989922354,62.292997119502054,4.822859,{6}
189.1082623048144,62.29318952854989,4.885554,"{3, 6, 7}"
189.12034313440427,62.29486385919126,6.588122,"{6, 7}"
189.1168167533025,62.29809532641526,3.33403,"{6, 7}"
189.1133994120063,62.29819055732666,3.326626,"{6, 7}"
189.1173708639411,62.298258302008946,3.330991,"{6, 7}"
189.18628574858246,62.22539469370035,6.98285,"{6, 7}"
189.10030916904026,62.230852494853,5.200843,"{4, 5, 6, 7}"
189.09490724065162,62.23946247786139,5.301883,"{4, 5, 6, 7}"
189.17476851809738,62.22706220620766,2.01094,"{2, 4, 5}"
189.11160330290662,62.24028044371202,4.159894,"{6, 7}"
189.1072035126018,62.245742131081336,3.966567,"{6, 7}"
189.16577747150117,62.254196909067396,5.127506,"{6, 7}"
189.18030266496842,62.22719693731242,2.996001,{7}
189.15334224136484,62.26427546093741,0.852,"{2, 6, 7}"
189.09272421587352,62.266041562945965,4.469938,"{6, 7}"
189.16746705540643,62.227445442622766,2.400808,{7}
189.13114471543295,62.27035136016714,4.042305,"{6, 7}"
189.11245098498995,62.2874618355639,4.379484,"{6, 7}"
189.1156471608649,62.29659329331632,4.929402,"{6, 7}"
