ra,dec,star_flag,near_star,use_phot,z_spec,z_peak,field
188.94720459,62.19774246,2,0,1,,3.0362,GOODS-N
188.9473114,62.21201324,0,0,1,,1.6421,GOODS-N
188.94732666,62.18287277,2,0,1,,0.9039,GOODS-N
188.9475708,62.18085098,2,0,1,,0.8313,GOODS-N
188.94761658,62.20692825,2,0,1,,0.9931,GOODS-N
188.94764709,62.22234344,0,0,1,,2.4818,GOODS-N
188.94772339,62.22393799,0,0,0,,,GOODS-N
188.94773865,62.1992836,2,0,1,,1.0475,GOODS-N
188.94776917,62.23176575,0,0,1,,1.4574,GOODS-N
188.94792175,62.21134567,0,0,1,,1.4902,GOODS-N
188.94795227,62.18489838,0,0,1,,3.0576,GOODS-N
188.94799805,62.22554779,2,0,1,,1.5432,GOODS-N
188.94805908,62.20661926,0,0,1,,1.3108,GOODS-N
188.94813538,62.1809845,0,0,1,,3.1424,GOODS-N
188.94833374,62.20191574,0,0,1,,0.0709,GOODS-N
188.948349,62.21330643,0,0,1,,1.623,GOODS-N
188.94837952,62.19947052,0,0,1,,1.202,GOODS-N
188.94839478,62.1964035,2,0,0,,1.3848,GOODS-N
188.94854736,62.19651413,2,0,0,,1.8489,GOODS-N
188.94856262,62.23790359,2,0,1,,3.2295,GOODS-N
188.94862366,62.23012924,0,0,1,,0.6312,GOODS-N
188.94866943,62.21435547,0,0,1,,0.5639,GOODS-N
188.94868469,62.19019318,2,0,1,,2.1126,GOODS-N
188.94874573,62.18273926,0,0,1,,0.662,GOODS-N
188.94888306,62.21232224,2,0,1,,0.7194,GOODS-N
188.94891357,62.21325302,2,0,1,,1.6639,GOODS-N
188.94897461,62.20862961,2,0,1,,0.5798,GOODS-N
188.94900513,62.22898102,2,0,1,,1.4538,GOODS-N
188.94902039,62.2363739,2,0,1,,0.8118,GOODS-N
188.94903564,62.22468567,2,0,1,,5.2684,GOODS-N
188.9490509,62.2140007,0,0,1,,3.3225,GOODS-N
188.94908142,62.18899918,0,0,1,,0.823,GOODS-N
188.94915771,62.23818588,0,0,1,,0.8575,GOODS-N
188.94926453,62.20373535,0,0,1,,0.4979,GOODS-N
188.94926453,62.2180748,0,0,1,,2.9146,GOODS-N
188.94934082,62.21415329,0,0,1,,3.138,GOODS-N
188.94937134,62.22088623,2,0,1,,0.7012,GOODS-N
188.9493866,62.1978302,0,0,1,,1.6867,GOODS-N
188.94943237,62.20507431,2,0,0,,5.2194,GOODS-N
188.94978333,62.21430588,0,0,1,,2.8631,GOODS-N
188.94978333,62.21891403,0,0,1,,0.9622,GOODS-N
188.94984436,62.1900444,2,0,1,,2.8315,GOODS-N
188.94985962,62.21360397,2,0,1,,1.47,GOODS-N
188.94992065,62.18344116,2,0,1,,0.453,GOODS-N
188.94999695,62.18413544,0,0,1,,0.3451,GOODS-N
188.95001221,62.21474457,0,0,1,,1.6496,GOODS-N
188.95018005,62.21814346,2,0,1,,2.8123,GOODS-N
188.95019531,62.21373367,2,0,1,,2.6637,GOODS-N
188.95021057,62.17631912,0,0,0,,0.5751,GOODS-N
188.95021057,62.22945404,2,0,1,,0.6335,GOODS-N
188.95024109,62.18631744,2,0,1,,2.8845,GOODS-N
188.95025635,62.19586182,0,0,1,,1.6989,GOODS-N
188.95028687,62.20067215,2,0,1,,4.1756,GOODS-N
188.95030212,62.1993866,0,0,1,,1.0086,GOODS-N
188.95031738,62.17760468,0,0,0,,0.81,GOODS-N
188.95031738,62.20344543,0,0,1,,0.5086,GOODS-N
188.95037842,62.22445297,2,0,1,,0.8661,GOODS-N
188.95045471,62.22373962,0,0,1,,0.7998,GOODS-N
188.95050049,62.19440079,2,0,1,,0.7856,GOODS-N
188.95050049,62.20104218,2,0,1,,4.7091,GOODS-N
188.95050049,62.21468735,2,0,1,,0.4881,GOODS-N
188.95053101,62.17229843,0,0,0,,0.493,GOODS-N
188.95054626,62.17499924,0,0,0,,0.611,GOODS-N
188.95056152,62.23546219,2,0,1,,0.4209,GOODS-N
188.95062256,62.17098999,2,0,0,,2.2668,GOODS-N
188.95068359,62.20536804,2,0,0,,1.5759,GOODS-N
188.95072937,62.22652817,2,0,1,,0.5789,GOODS-N
188.95074463,62.21890259,0,0,1,,0.9184,GOODS-N
188.95079041,62.19759369,2,0,1,,0.6445,GOODS-N
188.95080566,62.19234848,2,0,1,,0.0812,GOODS-N
188.95095825,62.19648743,2,0,1,,0.8782,GOODS-N
188.9511261,62.19013596,0,0,1,,1.6516,GOODS-N
188.95114136,62.18383789,2,0,0,,0.6444,GOODS-N
188.95118713,62.22130203,0,0,1,,1.1377,GOODS-N
188.95123291,62.22147369,0,0,1,,1.8428,GOODS-N
188.95124817,62.21236038,2,0,1,,4.0873,GOODS-N
188.95126343,62.18687057,0,0,1,,0.4884,GOODS-N
188.95126343,62.23178482,2,0,1,,0.7964,GOODS-N
188.95127869,62.21744537,0,0,1,,2.2384,GOODS-N
188.95132446,62.21595001,0,0,1,,1.5371,GOODS-N
188.95137024,62.22199631,2,0,1,,2.1573,GOODS-N
188.9513855,62.23825455,0,0,0,,0.8963,GOODS-N
188.95140076,62.18524551,2,0,1,,3.4116,GOODS-N
188.95141602,62.19425201,0,0,1,,2.2442,GOODS-N
188.95144653,62.17127609,2,0,0,,3.0766,GOODS-N
188.95144653,62.22649765,2,0,0,,5.2884,GOODS-N
188.95153809,62.1832428,0,0,1,,0.4959,GOODS-N
188.9515686,62.21229553,0,0,1,,2.8066,GOODS-N
188.95161438,62.18250275,0,0,1,,0.3022,GOODS-N
188.9516449,62.20569229,2,0,0,,,GOODS-N
188.95170593,62.20200729,2,0,1,,0.0299,GOODS-N
188.95172119,62.19174957,0,0,1,,0.7813,GOODS-N
188.95172119,62.21113968,2,0,1,,5.0064,GOODS-N
188.95176697,62.2178688,0,0,1,,1.5505,GOODS-N
188.95178223,62.18639374,0,0,1,,2.344,GOODS-N
188.95178223,62.21455765,2,0,1,,1.7341,GOODS-N
188.95185852,62.1897049,0,0,1,,0.8481,GOODS-N
188.95188904,62.19935989,0,0,1,,0.0698,GOODS-N
188.95195007,62.2314415,2,0,1,,1.1925,GOODS-N
188.95199585,62.21328354,0,0,1,,2.7852,GOODS-N
188.95207214,62.22551727,0,0,1,,2.2049,GOODS-N
188.9521637,62.17209625,1,0,0,,,GOODS-N
188.95230103,62.20911789,2,0,1,,0.6357,GOODS-N
188.95231628,62.18179321,2,0,1,,0.6568,GOODS-N
188.95236206,62.18875504,0,0,1,,2.0369,GOODS-N
188.95243835,62.19553375,0,0,1,,0.1844,GOODS-N
188.95252991,62.19218063,0,0,1,,0.827,GOODS-N
188.95252991,62.23459244,0,0,1,,0.6308,GOODS-N
188.95256042,62.19816589,0,0,1,,0.9389,GOODS-N
188.95263672,62.21223068,2,0,1,,1.7359,GOODS-N
188.95263672,62.22112656,2,0,1,,0.4469,GOODS-N
188.95278931,62.19094086,2,0,1,,2.0112,GOODS-N
188.95278931,62.22935486,0,0,1,,0.761,GOODS-N
188.95291138,62.20056152,0,0,1,,0.1572,GOODS-N
188.95295715,62.18095779,0,0,1,,2.0289,GOODS-N
188.95298767,62.19841003,0,0,1,,0.9144,GOODS-N
188.95298767,62.23160553,0,0,0,,1.0195,GOODS-N
188.95307922,62.18941116,0,0,1,,1.9557,GOODS-N
188.95315552,62.23194122,0,0,1,,0.7712,GOODS-N
188.95320129,62.18721771,2,0,1,,1.2441,GOODS-N
188.95320129,62.2301178,2,0,1,,1.1748,GOODS-N
188.95321655,62.23271179,2,0,1,,2.1505,GOODS-N
188.95324707,62.18805313,0,0,1,,1.7545,GOODS-N
188.95326233,62.20707703,2,0,1,,0.5427,GOODS-N
188.95333862,62.23817825,0,0,1,,2.0884,GOODS-N
188.95336914,62.22551346,2,0,1,,5.7811,GOODS-N
188.95344543,62.17501068,1,0,0,,0.4002,GOODS-N
188.95350647,62.19177628,0,0,1,,3.2921,GOODS-N
188.95352173,62.20764923,0,0,1,,1.6119,GOODS-N
188.95353699,62.17309952,2,0,0,,1.8557,GOODS-N
188.95370483,62.21215057,0,0,1,,0.426,GOODS-N
188.95376587,62.23774338,2,0,1,,1.4833,GOODS-N
188.9538269,62.22816467,2,0,1,,5.4203,GOODS-N
188.9539032,62.19574738,0,0,1,,0.1291,GOODS-N
188.9539032,62.20391083,0,0,1,,2.2366,GOODS-N
188.95396423,62.2064743,2,0,1,,1.6368,GOODS-N
188.95402527,62.18638992,0,0,1,,0.8443,GOODS-N
188.95402527,62.20689392,2,0,1,,5.7386,GOODS-N
188.95407104,62.22631454,2,0,1,,0.0433,GOODS-N
188.95411682,62.21533966,0,0,1,,2.0962,GOODS-N
188.95417786,62.19351578,2,0,1,,0.7525,GOODS-N
188.95420837,62.17991638,2,0,1,,0.8322,GOODS-N
188.95425415,62.18514633,2,0,1,,0.8685,GOODS-N
188.95425415,62.2136879,2,0,1,,0.0646,GOODS-N
188.9543457,62.18031311,2,0,1,,1.8501,GOODS-N
188.95436096,62.21833801,2,0,1,,1.8379,GOODS-N
188.954422,62.21498108,2,0,1,,0.6413,GOODS-N
188.95445251,62.18693924,2,0,0,,1.7283,GOODS-N
188.95452881,62.18063354,0,0,1,,0.6733,GOODS-N
188.95452881,62.18795776,0,0,1,,1.0311,GOODS-N
188.95457458,62.20296478,0,0,1,,1.6491,GOODS-N
188.95466614,62.20009613,2,0,1,,1.5861,GOODS-N
188.95471191,62.21755219,2,0,1,,3.1828,GOODS-N
188.95474243,62.18176651,0,0,1,,0.5607,GOODS-N
188.95477295,62.20653534,2,0,1,,1.7512,GOODS-N
188.95489502,62.23360062,0,0,1,,3.2323,GOODS-N
188.95495605,62.18826675,0,0,1,,1.0109,GOODS-N
188.95495605,62.23111343,2,0,1,,2.4893,GOODS-N
188.95497131,62.21656799,0,0,1,,2.5411,GOODS-N
188.95498657,62.18564606,0,0,1,,0.7544,GOODS-N
188.95500183,62.20168686,2,0,1,,2.3827,GOODS-N
188.95501709,62.23799133,0,0,1,,3.4389,GOODS-N
188.95526123,62.22205353,0,0,1,,0.4105,GOODS-N
188.95530701,62.1866951,0,0,1,,2.9771,GOODS-N
188.95547485,62.23119354,0,0,1,,0.8075,GOODS-N
188.95556641,62.18546677,2,0,1,,0.848,GOODS-N
188.95561218,62.1993103,0,0,1,,0.2965,GOODS-N
188.95565796,62.17834473,0,0,1,,1.1976,GOODS-N
188.95568848,62.23080063,2,0,1,,4.3198,GOODS-N
188.95578003,62.18244553,0,0,1,,2.9633,GOODS-N
188.95584106,62.17333984,2,0,0,,0.7439,GOODS-N
188.95585632,62.22538757,0,0,1,,0.5044,GOODS-N
188.95587158,62.17988968,0,0,1,,0.6139,GOODS-N
188.95588684,62.18414307,0,0,1,,0.8629,GOODS-N
188.9559021,62.23753738,2,0,1,,2.258,GOODS-N
188.95591736,62.17391586,2,0,0,,1.6133,GOODS-N
188.95602417,62.18323898,2,0,1,,0.593,GOODS-N
188.95619202,62.18743896,2,0,1,,1.4222,GOODS-N
188.95620728,62.1711235,0,0,0,,0.5828,GOODS-N
188.95622253,62.21430588,2,0,1,,1.4328,GOODS-N
188.95626831,62.17383957,2,0,0,,1.66,GOODS-N
188.95631409,62.17173767,0,0,0,,0.9724,GOODS-N
188.95632935,62.18431091,0,0,1,,0.8823,GOODS-N
188.9564209,62.20394135,2,0,0,,,GOODS-N
188.9564209,62.21344376,2,0,1,,3.5928,GOODS-N
188.95651245,62.19616318,2,0,0,,1.0451,GOODS-N
188.95654297,62.20171738,2,0,1,,2.0527,GOODS-N
188.95671082,62.21055222,0,0,1,,0.4149,GOODS-N
188.95672607,62.21275711,2,0,1,,4.5372,GOODS-N
188.95675659,62.23171616,0,0,1,,2.4711,GOODS-N
188.95677185,62.21328354,2,0,0,,0.5595,GOODS-N
188.95680237,62.17114639,0,0,0,,0.5943,GOODS-N
188.95684814,62.19174576,2,0,1,,2.6442,GOODS-N
188.9568634,62.22151566,0,0,1,,0.458,GOODS-N
188.95689392,62.21804047,0,0,1,,1.4796,GOODS-N
188.95703125,62.2309761,0,0,1,,1.515,GOODS-N
188.95707703,62.17079163,0,0,0,,0.7366,GOODS-N
188.95715332,62.20819855,2,0,1,,1.2255,GOODS-N
188.95715332,62.22468567,2,0,1,,5.372,GOODS-N
188.95735168,62.22754669,0,0,1,,0.8274,GOODS-N
188.95736694,62.21763992,2,0,1,,1.2158,GOODS-N
188.9573822,62.23106766,2,0,1,,1.104,GOODS-N
188.95758057,62.17835999,0,0,1,,0.7859,GOODS-N
188.95767212,62.18421173,2,0,1,,2.8261,GOODS-N
188.95767212,62.2010498,2,0,1,,0.328,GOODS-N
188.95780945,62.23672485,2,0,1,,3.5297,GOODS-N
188.95785522,62.17855453,0,0,1,,0.9133,GOODS-N
188.95785522,62.18961716,2,0,1,,0.6885,GOODS-N
188.95785522,62.20706177,2,0,1,,2.8217,GOODS-N
188.95788574,62.19668579,2,0,1,,0.4266,GOODS-N
188.95788574,62.21487427,2,0,1,,1.6785,GOODS-N
188.95794678,62.21607971,2,0,1,,0.0195,GOODS-N
188.95809937,62.2179718,0,0,1,,1.6121,GOODS-N
188.95822144,62.19460297,2,0,1,,1.9224,GOODS-N
188.95840454,62.20832443,2,0,0,,4.6426,GOODS-N
188.95855713,62.17525101,2,0,1,,3.0219,GOODS-N
188.95858765,62.17482376,0,0,1,,0.5243,GOODS-N
188.95860291,62.19487,0,0,1,,0.2925,GOODS-N
188.95863342,62.23222733,2,0,1,,3.7643,GOODS-N
188.95866394,62.21751404,0,0,1,,1.4671,GOODS-N
188.9586792,62.18128204,2,0,1,,1.7637,GOODS-N
188.9586792,62.19673538,2,0,1,,2.7602,GOODS-N
188.95875549,62.20159912,1,0,0,,0.2369,GOODS-N
188.95875549,62.20812988,2,0,1,,0.5113,GOODS-N
188.9588623,62.22541428,0,0,1,,0.7093,GOODS-N
188.9589386,62.19353867,2,0,1,,0.5999,GOODS-N
188.95895386,62.17817307,2,0,1,,4.1586,GOODS-N
